,time_min,level_m,drawdown_m
161,300.0,35.43,13.48
162,305.0,35.47,13.52
163,310.0,35.51,13.559999999999999
164,315.0,35.52,13.570000000000004
165,320.0,35.55,13.599999999999998
166,325.0,35.59,13.640000000000004
167,330.0,35.61,13.66
168,335.0,35.63,13.680000000000003
169,340.0,35.66,13.709999999999997
170,345.0,35.68,13.73
171,350.0,35.7,13.750000000000004
172,355.0,35.71,13.760000000000002
173,360.0,35.71,13.760000000000002
174,360.5,36.48,14.529999999999998
175,361.0,37.17,15.220000000000002
176,361.5,37.92,15.970000000000002
177,362.0,38.37,16.419999999999998
178,362.5,38.65,16.7
179,363.0,38.88,16.930000000000003
180,363.5,39.03,17.080000000000002
181,364.0,39.11,17.16
182,364.5,39.2,17.250000000000004
183,365.0,39.21,17.26
184,365.5,39.26,17.31
185,366.0,39.3,17.349999999999998
186,366.5,39.34,17.390000000000004
187,367.0,39.39,17.44
188,367.5,39.41,17.459999999999997
189,368.0,39.42,17.470000000000002
190,368.5,39.44,17.49
191,369.0,39.45,17.500000000000004
192,369.5,39.46,17.51
193,370.0,39.5,17.55
194,371.0,39.54,17.59
195,372.0,39.58,17.63
196,373.0,39.6,17.650000000000002
197,374.0,39.63,17.680000000000003
198,375.0,39.64,17.69
199,376.0,39.66,17.709999999999997
200,377.0,39.67,17.720000000000002
201,378.0,39.69,17.74
202,379.0,39.7,17.750000000000004
203,380.0,39.7,17.750000000000004
204,381.0,39.73,17.779999999999998
205,382.0,39.75,17.8
206,383.0,39.78,17.830000000000002
207,384.0,39.79,17.84
208,385.0,39.8,17.849999999999998
209,386.0,39.81,17.860000000000003
210,387.0,39.84,17.890000000000004
211,388.0,39.85,17.900000000000002
212,389.0,39.87,17.919999999999998
213,390.0,39.91,17.959999999999997
214,395.0,39.95,18.000000000000004
215,400.0,39.96,18.01
216,405.0,40.01,18.06
217,410.0,40.05,18.099999999999998
218,415.0,40.05,18.099999999999998
219,420.0,40.11,18.16
220,425.0,40.15,18.2
221,430.0,40.18,18.23
222,435.0,40.2,18.250000000000004
223,440.0,40.22,18.27
224,445.0,40.25,18.3
225,450.0,40.28,18.330000000000002
226,455.0,40.31,18.360000000000003
227,460.0,40.31,18.360000000000003
228,465.0,40.35,18.400000000000002
229,470.0,40.35,18.400000000000002
230,475.0,40.35,18.400000000000002
231,480.0,40.35,18.400000000000002
